Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Asian/PI,,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,0.3,"Houston, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,0.3,"Cleveland, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System (Ohio Department of Health,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,2.6,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC",,,,0.8,4.5
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,2.0,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC",,,,0.4,3.6
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Other,,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here due to low case count.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here due to low case count.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here due to low case count.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Asian/PI,,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here due to low case count.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,3.3,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,Value is for all of Tarrant County.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator. Suppressed here because number is too small for rate calculation.; Value is for all of Tarrant County.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,2.0,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,Value is for all of Tarrant County.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,5.8,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,Value is for all of Tarrant County.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,4.1,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,Value is for all of Tarrant County.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,2.5,"Fort Worth (Tarrant County), TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Tarrant County Public Health,,Value is for all of Tarrant County.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.9,"New York City, NY","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",NYC DOHMH Bureau of Communicable Disease,"Denominator is NYC DOHMH population estimates, modified from US Census Bureau intercensal population estimates, updated July 2013; crude rates per 100,000 population",,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,2.3,"Seattle, WA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Seattle-King County Surveillance Database,"Includes Confirmed, Probable, & Suspect STEC",,,,1.1,3.5
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,0.5,"Cleveland, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System (Ohio Department of Health,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,0.0,"Cleveland, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System (Ohio Department of Health,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,0.5,"Cleveland, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System (Ohio Department of Health,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.0,"Cleveland, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System (Ohio Department of Health,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,1.1,"New York City, NY","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",NYC DOHMH Bureau of Communicable Disease,"Denominator is NYC DOHMH population estimates, modified from US Census Bureau intercensal population estimates, updated July 2013; crude rates per 100,000 population",,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,1.0,"New York City, NY","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",NYC DOHMH Bureau of Communicable Disease,"Denominator is NYC DOHMH population estimates, modified from US Census Bureau intercensal population estimates, updated July 2013; crude rates per 100,000 population",,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.7,"Miami (Miami-Dade County), FL","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,0.6,"Philadelphia, PA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","Division of Disease Control, Philadelphia Dept of Public Health",,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,0.6,"Philadelphia, PA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","Division of Disease Control, Philadelphia Dept of Public Health",,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.6,"Philadelphia, PA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","Division of Disease Control, Philadelphia Dept of Public Health",,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,0.5,"Miami (Miami-Dade County), FL","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,0.6,"Miami (Miami-Dade County), FL","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,,"San Antonio, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.; Bexar County level data",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,0.0,"San Antonio, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,Bexar County level data,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,0.4,"San Antonio, TX","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,Bexar County level data,,,0.1,0.7
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,,"Columbus, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to total count <20.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,,"Columbus, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to total count <20.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,,"Columbus, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to total count <20.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,,"Columbus, OH","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",Ohio Disease Reporting System,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to total count <20.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Other,,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates censored where less than 5 cases were presented as data would be statistically unstable.; Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Hispanic,1.1,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.",Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Black,,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates censored where less than 5 cases were presented as data would be statistically unstable.; Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,0.7,"Washington, DC","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,0.8,"Washington, DC","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,White,0.7,"Washington, DC","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",,,,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,Asian/PI,,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates censored where less than 5 cases were presented as data would be statistically unstable.; Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.",,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Both,All,1.2,"San Diego County, CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.","County of San Diego, Health and Human Services Agency, Public Health Services, Epidemiology and Immunizations Services Branch; January, 2018; SANDAG Current Population Estimates, Received May 2017.","Annual case counts are grouped by CDC disease year, following the schema of CDC disease weeks, which do not necessarily reflect the calendar year. Cases are grouped into year on the basis of the earliest of the following dates: onset date, laboratory specimen collection date, diagnosis date, death date, date report was received. Rates are calculated per 100,000 population using the appropriate population stratifications and year population estimates as received by the San Diego Association of Governments (SANDAG) which is our county's official census holder.",Shiga toxin-Producing E. coli (including O157) confirmed cases only. Cases include non-residents and those of unknown residence who received diagnosis while in the county.,,,,
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Male,All,1.5,"Oakland (Alameda County), CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",CCR Title 17 reportable diseases reported to ACPHD Acute Communicable Disease Unit,Denominator used was CA Dept of Finance projections year of interest,Data is for Alameda County (excluding the city of Berkeley).  Data includes shiga toxin in feces,,,0.7,2.7
Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",2010,Female,All,1.4,"Oakland (Alameda County), CA","Rate of lab-confirmed infections caused by Shiga Toxin-Producing E-Coli per 100,000 population using 2010 US Census figures.",CCR Title 17 reportable diseases reported to ACPHD Acute Communicable Disease Unit,Denominator used was CA Dept of Finance projections year of interest,Data is for Alameda County (excluding the city of Berkeley).  Data includes shiga toxin in feces,,,0.7,2.6
