"","provider_id","hospital_name","gastrointestinal","eye","nervous_system","musculoskeletal","skin","genitourinary","cardiovascular","respiratory","other"
"75",10146,"RMC JACKSONVILLE","93","81","0","13","0","20","0","0","704"
"76",10148,"EVERGREEN MEDICAL CENTER","316","0","0","1","55","0","4","0","0"
"77",10149,"BAPTIST MEDICAL CENTER EAST","7610","0","3","475","156","470","0","26","40"
"78",10150,"L V STABLER MEMORIAL HOSPITAL","1083","122","21","71","115","5","0","3","1"
"79",10157,"SHOALS HOSPITAL","1129","0","5","22","125","12","0","8","11"
"80",10158,"RUSSELLVILLE HOSPITAL","857","126","80","249","15","16","0","0","7"
"81",10164,"COOSA VALLEY MEDICAL CENTER","1880","653","4","423","2","133","55","759","0"
"82",10168,"JACK HUGHSTON MEMORIAL HOSPITAL","285","0","84","866","76","0","0","0","2"
"83",10169,"ATMORE COMMUNITY HOSPITAL","626","0","2","3","13","5","0","2","0"
"84",10173,"ST VINCENT'S CHILTON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",11300,"WASHINGTON COUNTY HOSPITAL","0","0","0","0","0","0","0","0","0"
"86",11302,"RED BAY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",11304,"CHOCTAW GENERAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",11305,"ST VINCENTS BLOUNT","722","4","7","8","26","24","7","0","5"
"89",20001,"PROVIDENCE ALASKA MEDICAL CENTER","2196","234","54","105","229","569","2322","173","180"
"90",20006,"MAT-SU REGIONAL MEDICAL CENTER","3082","0","185","1155","482","214","0","34","16"
"91",20008,"BARTLETT REGIONAL HOSPITAL","956","0","47","234","19","99","0","15","1"
"92",20012,"FAIRBANKS MEMORIAL HOSPITAL","2798","619","102","539","547","196","25","62","70"
"93",20017,"ALASKA REGIONAL HOSPITAL","1524","100","71","324","206","215","147","5","50"
"94",20024,"CENTRAL PENINSULA GENERAL HOSPITAL","1041","258","31","564","41","58","2","17","10"
"95",20026,"ALASKA NATIVE MEDICAL CENTER","431","835","157","307","136","215","264","41","58"
"96",21303,"SITKA COMMUNITY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",21311,"KETCHIKAN MEDICAL CENTER","884","0","38","101","85","125","41","17","2"
"99",21313,"SOUTH PENINSULA HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","2095","0","176","563","3007","850","681","251","395"
"101",30006,"TUCSON MEDICAL CENTER","1763","112","659","2121","9285","1318","516","79","1040"
"102",30007,"VERDE VALLEY MEDICAL CENTER","2382","0","25","506","98","192","22","3","110"
"103",30010,"ST. MARY'S HOSPITAL","4301","0","22","477","596","253","47","36","149"
"104",30011,"ST JOSEPH'S HOSPITAL","1342","903","348","1042","650","1115","83","67","139"
"105",30012,"YAVAPAI REGIONAL MEDICAL CENTER","3765","6","108","566","239","715","75","21","101"
"106",30013,"YUMA REGIONAL MEDICAL CENTER","1951","207","161","1173","439","735","204","274","243"
"107",30014,"JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL","1841","0","156","528","234","469","32","126","88"
"108",30016,"BANNER CASA GRANDE MEDICAL CENTER","952","0","45","265","929","288","12","8","77"
"109",30022,"MARICOPA MEDICAL CENTER","2490","179","63","244","226","192","5","40","69"
"110",30023,"FLAGSTAFF MEDICAL CENTER","934","15","96","1148","185","217","62","79","127"
"111",30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","2828","0","141","733","995","1028","53","578","232"
"112",30030,"ABRAZO CENTRAL CAMPUS","1645","0","15","242","2707","134","7","48","238"
"113",30033,"BANNER PAYSON MEDICAL CENTER","965","225","23","85","96","70","4","0","14"
"114",30036,"CHANDLER REGIONAL MEDICAL CENTER","1993","7","32","312","7587","1210","316","23","408"
"115",30037,"ST LUKE'S MEDICAL CENTER","1821","1183","350","931","405","132","210","117","60"
"116",30038,"SCOTTSDALE OSBORN MEDICAL CENTER","2665","159","192","1171","348","209","4","164","74"
"117",30043,"CANYON VISTA MEDICAL CENTER","3105","0","44","501","390","137","2","32","58"
"118",30055,"KINGMAN REGIONAL MEDICAL CENTER","2055","0","48","332","920","252","178","39","282"
"119",30061,"BANNER BOSWELL MEDICAL CENTER","1891","0","279","364","1206","471","474","47","387"
"120",30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2427","23","209","469","9409","296","66","156","183"
"121",30064,"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","3273","362","155","235","179","110","15","256","217"
"122",30065,"BANNER DESERT MEDICAL CENTER","3067","0","367","817","832","1129","412","121","475"
"123",30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","950","0","106","193","148","13","0","0","9"
"124",30069,"HAVASU REGIONAL MEDICAL CENTER","3612","0","1529","883","3763","218","1087","148","46"
"125",30077,"SAN CARLOS APACHE HEALTHCARE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",30083,"ABRAZO SCOTTSDALE CAMPUS","376","0","12","294","1575","381","14","17","42"
"127",30085,"NORTHWEST MEDICAL CENTER","5941","617","196","1442","9393","1004","215","71","384"
"128",30087,"SCOTTSDALE SHEA MEDICAL CENTER","4382","0","396","1407","1167","1560","0","421","605"
"129",30088,"BANNER BAYWOOD MEDICAL CENTER","5","0","0","0","4","0","720","1","55"
"130",30089,"BANNER THUNDERBIRD MEDICAL CENTER","2127","0","30","799","1521","1104","294","195","346"
"131",30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER","6228","0","53","914","1125","571","26","206","373"
"132",30093,"BANNER DEL E. WEBB MEDICAL CENTER","3017","4","267","1413","724","608","72","122","242"
"133",30094,"ABRAZO ARROWHEAD CAMPUS","2164","0","23","292","5112","901","853","244","172"
"134",30101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER","2058","0","70","219","66","88","61","38","21"
"135",30103,"MAYO CLINIC HOSPITAL","4160","901","1023","1432","515","900","270","410","443"
"136",30105,"BANNER HEART HOSPITAL","5","0","0","0","4","0","720","1","55"
"137",30107,"ARIZONA SPINE AND JOINT HOSPITAL","0","0","496","1181","15","0","0","0","0"
"138",30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","0","0","0","1680","0","0","0","0","0"
"139",30110,"ABRAZO WEST CAMPUS","2108","0","11","162","3402","300","27","19","43"
"140",30111,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","1680","6","221","177","28","76","1","0","4"
"141",30112,"ARIZONA SPECIALTY HOSPITAL","38","0","43","2371","245","0","12","0","0"
"142",30114,"ORO VALLEY HOSPITAL","2140","224","96","783","68","88","51","67","103"
"143",30115,"BANNER ESTRELLA MEDICAL CENTER","2768","0","105","271","176","625","14","112","189"
"144",30117,"VALLEY VIEW MEDICAL CENTER","434","40","0","463","72","517","279","3","16"
"145",30119,"MERCY GILBERT MEDICAL CENTER","1697","0","82","894","401","631","40","140","237"
"146",30120,"GILBERT HOSPITAL","64","0","0","1","119","1","0","0","0"
"147",30121,"MOUNTAIN VISTA MEDICAL CENTER, LP","2146","225","113","351","207","486","290","44","48"
"148",30122,"BANNER GATEWAY MEDICAL CENTER","1860","8","172","445","944","795","0","27","851"
"149",30123,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","2466","0","126","908","57","420","0","59","16"
"150",30130,"BANNER IRONWOOD MEDICAL CENTER","826","0","19","185","24","138","0","0","1"
"151",30131,"O.A.S.I.S. HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",30132,"FLORENCE HOSPITAL AT ANTHEM, LLC","28","0","0","0","15","0","0","0","0"
"153",30134,"BANNER GOLDFIELD MEDICAL CENTER","157","0","0","0","1","11","0","0","0"
"154",30136,"DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","29","0","0","6","1","0","0","0","31"
"155",30137,"GREEN VALLEY HOSPITAL","1123","0","0","1","84","1","4","4","0"
"156",31300,"WICKENBURG COMMUNITY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",31301,"BENSON HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",31304,"PAGE HOSPITAL","107","68","3","4","31","1","0","0","0"
"159",31309,"SAGE MEMORIAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",31312,"COPPER QUEEN COMMUNITY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",31313,"HOLY CROSS HOSPITAL","839","0","0","4","40","21","0","0","0"
"162",31314,"COBRE VALLEY REGIONAL MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",31315,"WHITE MOUNTAIN REGIONAL MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",40001,"SILOAM SPRINGS REGIONAL HOSPITAL","1104","380","33","89","98","67","0","12","4"
"165",40002,"JOHNSON REGIONAL MEDICAL CENTER","998","74","13","39","36","215","0","34","16"
"166",40004,"WASHINGTON REGIONAL MEDICAL CENTER","1018","0","62","283","2752","405","381","98","142"
"167",40007,"CHI-ST VINCENT INFIRMARY","1100","0","66","1123","2546","456","140","37","148"
"168",40010,"MERCY HOSPITAL NORTHWEST ARKANSAS","10237","0","184","912","5110","673","165","122","138"
"169",40011,"CHAMBERS MEMORIAL HOSPITAL","417","220","0","0","28","2","0","0","0"
"170",40014,"WHITE COUNTY MEDICAL CENTER","670","0","140","491","112","452","1","34","32"
"171",40015,"MENA REGIONAL HEALTH SYSTEM","558","161","0","36","19","0","9","0","11"
"172",40016,"UAMS MEDICAL CENTER","2847","1265","931","821","4524","773","116","200","4627"
"173",40017,"NORTH ARKANSAS REGIONAL MEDICAL CENTER","1894","0","0","1350","193","692","12","4","965"
"174",40018,"SPARKS MEDICAL CENTER - VAN BUREN","0","0","7","81","143","5","0","0","1"
"175",40019,"FORREST CITY MEDICAL CENTER","1298","9","28","43","34","149","1","0","15"
"176",40020,"ST BERNARDS MEDICAL CENTER","460","0","104","1758","7896","310","716","130","0"
"177",40022,"NORTHWEST MEDICAL CENTER-SPRINGDALE","4249","69","146","856","272","834","30","258","132"
"178",40026,"CHI ST. VINCENT HOSPITAL HOT SPRINGS","2502","1149","603","1469","186","425","55","111","202"
"179",40027,"BAXTER REGIONAL MEDICAL CENTER","2814","0","138","752","628","351","57","177","132"
"180",40029,"CONWAY REGIONAL MEDICAL CENTER","161","980","0","2326","225","335","62","0","1621"
"181",40036,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","1413","0","55","725","1153","309","149","64","238"
"182",40039,"ARKANSAS METHODIST MEDICAL CENTER","1747","0","60","86","65","24","33","165","22"
"183",40041,"ST MARYS REGIONAL MEDICAL CENTER","2093","185","0","811","0","239","2113","20","1761"
"184",40047,"FIVE RIVERS MEDICAL CENTER","451","0","0","125","0","0","0","0","0"
"185",40050,"OUACHITA COUNTY MEDICAL CENTER","575","349","20","29","192","0","0","2","23"
"186",40051,"DREW MEMORIAL HOSPITAL","555","262","0","23","57","392","0","0","356"
"187",40055,"SPARKS REGIONAL MEDICAL CENTER","6694","42","76","293","168","527","39","169","86"
"188",40062,"MERCY HOSPITAL FORT SMITH","2766","197","412","2099","1656","241","68","75","90"
"189",40067,"MAGNOLIA HOSPITAL","291","386","15","92","11","2","14","0","1"
"190",40069,"GREAT RIVER MEDICAL CENTER","270","0","29","32","373","20","0","0","1"
"191",40071,"JEFFERSON REGIONAL MEDICAL CENTER","225","0","69","85","58","166","106","2","17"
"192",40072,"BAPTIST HEALTH MEDICAL CENTER-STUTTGART","259","0","48","51","25","31","0","0","0"
"193",40074,"NORTH METRO MEDICAL CENTER","2","0","0","19","0","3","0","0","67"
"194",40076,"BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","201","0","1","1","47","0","0","0","1"
"195",40078,"NATIONAL PARK MEDICAL CENTER","1134","0","59","428","165","82","89","11","111"
"196",40084,"SALINE MEMORIAL HOSPITAL","1962","0","147","557","1636","96","14","39","15"
"197",40085,"HELENA REGIONAL MEDICAL CENTER","37","0","9","6","147","28","0","0","0"
"198",40088,"MEDICAL CENTER OF SOUTH ARKANSAS","755","0","9","51","1261","189","105","37","50"
"199",40114,"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","882","1046","117","1701","1240","1408","339","144","554"
"200",40118,"NEA BAPTIST MEMORIAL HOSPITAL","527","0","304","1341","192","93","27","292","38"
"201",40119,"WHITE RIVER MEDICAL CENTER","2438","0","219","524","1771","396","84","118","73"
"202",40132,"LEVI HOSPITAL","0","0","0","0","0","0","0","0","0"
"203",40134,"ARKANSAS HEART HOSPITAL, LLC","65","0","0","5","6","6","428","1","45"
"204",40137,"ST VINCENT MEDICAL CENTER/NORTH","853","0","6","95","12","47","20","0","0"
"205",40147,"ARKANSAS SURGICAL HOSPITAL","0","0","1456","4040","240","0","0","0","20"
"206",40152,"NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL","91","1","144","955","50","3","0","0","112"
"207",40153,"WADLEY REGIONAL MEDICAL CENTER AT HOPE","0","0","0","0","100","0","0","0","0"
"208",40154,"BAPTIST HEALTH MEDICAL CENTER-CONWAY","25","0","0","16","17","3","3","29","6"
"209",41300,"NORTH LOGAN MERCY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",41302,"RIVER VALLEY MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",41303,"MERCY HOSPITAL TURNER MEMORIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",41304,"EUREKA SPRINGS HOSPITAL, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",41305,"MERCY HOSPITAL WALDRON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",41307,"CROSSRIDGE COMMUNITY HOSPITAL","0","0","0","0","0","0","0","0","0"
"215",41308,"MCGEHEE HOSPITAL","0","0","0","0","0","0","0","0","0"
"216",41309,"LAWRENCE MEMORIAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",41310,"STONE COUNTY MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",41311,"HOWARD MEMORIAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",41312,"BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS","1114","49","83","93","116","23","0","0","4"
"220",41313,"OZARK HEALTH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",41314,"DEWITT HOSPITAL & NURSING HOME, INC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",41316,"SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",41318,"MERCY HOSPITAL BOONEVILLE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",41320,"LITTLE RIVER MEMORIAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",41321,"BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA","182","414","14","72","129","30","0","0","0"
"226",41322,"FULTON COUNTY HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",41323,"ASHLEY COUNTY MEDICAL CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",41326,"DELTA MEMORIAL HOSPITAL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",41327,"BRADLEY COUNTY MEDICAL CENTER","321","170","0","1","35","39","1","0","0"
"230",41328,"CHICOT MEMORIAL MEDICAL CENTER","0","0","0","0","0","0","0","0","0"
"231",41329,"MERCY HOSPITAL BERRYVILLE","490","104","0","0","27","15","0","2","0"
"232",41331,"OZARKS COMMUNITY HOSPITAL OF GRAVETTE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",50002,"ST ROSE HOSPITAL","138","0","2","19","118","36","9","0","7"
"234",50006,"ST JOSEPH HOSPITAL","2747","0","2814","668","98","341","1179","60","71"
"235",50007,"MILLS-PENINSULA MEDICAL CENTER","2014","1885","50","824","1526","453","65","108","274"
"236",50008,"CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","34","0","74","335","1660","133","0","11","355"
"237",50009,"QUEEN OF THE VALLEY MEDICAL CENTER","1915","1056","160","639","196","166","83","41","149"
"238",50013,"ADVENTIST HEALTH ST HELENA","1093","151","69","257","81","183","14","34","18"
"239",50014,"SUTTER AMADOR HOSPITAL","873","118","29","134","33","71","0","0","11"
"240",50017,"MERCY GENERAL HOSPITAL","2040","1578","275","1445","288","371","789","151","279"
"241",50018,"PACIFIC ALLIANCE MEDICAL CENTER","1077","0","4","55","41","173","3","2","5"
"242",50022,"RIVERSIDE COMMUNITY HOSPITAL","2404","0","69","288","356","173","410","71","214"
"243",50024,"PARADISE VALLEY HOSPITAL","0","0","0","0","0","0","0","0","0"
"244",50025,"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR","9426","2248","721","506","678","531","405","669","848"
"245",50026,"GROSSMONT HOSPITAL","5174","481","1584","856","2759","486","1432","287","268"
"246",50028,"MAD RIVER COMMUNITY HOSPITAL","2092","0","85","236","320","10","0","3","11"
"247",50030,"OROVILLE HOSPITAL","3693","810","76","222","145","208","20","33","0"
"248",50036,"BAKERSFIELD MEMORIAL HOSPITAL","1935","0","16","314","3662","376","232","91","90"
"249",50038,"SANTA CLARA VALLEY MEDICAL CENTER","4887","1950","65","3586","6125","1328","1078","1799","486"
"250",50039,"ENLOE MEDICAL CENTER","6910","123","109","642","4101","391","221","266","349"
"251",50040,"LAC/OLIVE VIEW-UCLA MEDICAL CENTER","1191","519","82","121","708","261","16","71","174"
"252",50042,"ST ELIZABETH COMMUNITY HOSPITAL","1363","608","30","202","4329","87","0","38","16"
"253",50043,"ALTA BATES SUMMIT MEDICAL CENTER","966","0","10","48","1246","429","133","93","257"
"254",50045,"EL CENTRO REGIONAL MEDICAL CENTER","7","2274","2","359","0","936","82","8","431"
"255",50047,"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","5512","928","46","558","1660","779","76","169","355"
"256",50054,"SAN GORGONIO MEMORIAL HOSPITAL","1722","0","47","150","22","5","0","2","5"
"257",50055,"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","378","99","17","66","198","79","3","10","26"
"258",50056,"ANTELOPE VALLEY HOSPITAL","2303","59","262","547","213","349","31","166","137"
"259",50057,"KAWEAH DELTA MEDICAL CENTER","5141","52","309","858","4198","435","147","74","151"
"260",50058,"GLENDALE MEM HOSPITAL & HLTH CENTER","2080","346","15","92","6949","146","100","53","104"
"261",50060,"COMMUNITY REGIONAL MEDICAL CENTER","443","0","100","255","294","116","3119","200","0"
"262",50063,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","1636","0","13","105","143","155","28","68","63"
"263",50067,"OAK VALLEY HOSPITAL DISTRICT","604","0","4","3","4","0","0","8","1"
"264",50069,"ST JOSEPH HOSPITAL","7595","2032","69","788","3827","803","560","86","433"
"265",50077,"SCRIPPS MERCY HOSPITAL","4965","834","167","768","300","606","206","91","327"
"266",50078,"PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","789","7","32","150","81","189","1","8","38"
"267",50082,"ST JOHNS REGIONAL MEDICAL CENTER","864","453","161","255","133","215","95","108","137"
"268",50084,"ST JOSEPH'S MEDICAL CENTER OF STOCKTON","1048","0","25","163","431","202","366","32","166"
"269",50089,"COMMUNITY HOSPITAL OF SAN BERNARDINO","733","87","2","1","54","58","86","85","62"
"270",50090,"SONOMA VALLEY HOSPITAL","474","154","39","245","7","18","0","3","0"
"271",50091,"COMMUNITY HOSPITAL OF HUNTINGTON PARK","0","0","0","0","0","0","0","0","0"
"272",50093,"SAINT AGNES MEDICAL CENTER","3010","1748","54","378","2709","492","298","131","262"
"273",50096,"WEST COVINA MEDICAL CENTER, INC","13","0","39","167","1","0","0","25","0"
"274",50099,"SAN ANTONIO REGIONAL HOSPITAL","3328","11","10","207","177","273","70","76","230"
"275",50100,"SHARP MEMORIAL HOSPITAL","5452","2949","2393","783","769","1192","1809","335","771"
"276",50101,"SUTTER SOLANO MEDICAL CENTER","486","374","15","209","230","59","8","31","95"
"277",50102,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER","1586","0","5","55","177","143","12","66","65"
"278",50103,"WHITE MEMORIAL MEDICAL CENTER","4686","562","65","478","102","134","63","320","77"
