provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hrr,total_discharges,count_drgs,average_covered_charges,average_total_payments,latitude,longitude
360130,AMHERST HOSPITAL,254 CLEVELAND AVENUE,AMHERST,OH,44001,OH - Elyria,91,,12451.63029,5841.676918,41.399398,-82.224113
360115,UHHS BEDFORD MEDICAL CENTER,44 BLAINE AVENUE,BEDFORD,OH,44146,OH - Cleveland,1071,,25263.60315,6441.094273,41.394958,-81.534836
360041,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,OH - Cleveland,4998,,19180.46715,7679.86234,41.3826511,-81.7312692
360356,"PHYSICIAN'S CHOICE HOSPITAL - FREMONT, LLC",2390 ENTERPRISE DRIVE,FREMONT,OH,43420,OH - Toledo,17,,7185.823529,4827,41.3795689,-83.116772
360029,WOOD COUNTY HOSPITAL,950 WEST WOOSTER STREET,BOWLING GREEN,OH,43402,OH - Toledo,591,,13274.16026,6079.468445,41.375763,-83.665562
360155,SOUTHWEST GENERAL HEALTH CENTER,18697 BAGLEY ROAD,MIDDLEBURG HEIG,OH,44130,OH - Cleveland,4598,,32909.84752,7839.316189,41.370277,-81.831887
360145,EMH REGIONAL MEDICAL CENTER,630 EAST RIVER STREET,ELYRIA,OH,44035,OH - Elyria,4366,,20039.54415,7866.889575,41.366491,-82.09708
360156,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,OH,43420,OH - Toledo,378,,18392.88831,5765.873582,41.339127,-83.134406
360107,BELLEVUE HOSPITAL,1400 WEST MAIN STREET,BELLEVUE,OH,44811,OH - Cleveland,350,,14773.28856,5384.32606,41.2854973,-82.8840511
360270,MERCY HOSPITAL OF DEFIANCE,1404 EAST SECOND STREET,DEFIANCE,OH,43512,IN - Fort Wayne,499,,14212.67043,5154.039135,41.2843919,-84.33944
360055,TRUMBULL MEMORIAL HOSPITAL,1350 EAST MARKET STREET,WARREN,OH,44482,OH - Youngstown,2595,,34430.85563,6998.555371,41.2354879,-80.798649
360161,ST JOSEPH HEALTH CENTER,667 EASTLAND AVE SE,WARREN,OH,44481,OH - Youngstown,1975,,30174.96908,8561.276118,41.230463,-80.777492
360065,FISHER-TITUS HOSPITAL,272 BENEDICT AVENUE,NORWALK,OH,44857,OH - Cleveland,1108,,15807.99282,5839.665648,41.2256991,-82.6049137
360078,ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,RAVENNA,OH,44266,OH - Akron,2124,,20182.04141,6429.248294,41.1755369,-81.2491475
360091,MEDINA HOSPITAL,1000 EAST WASHINGTON STREET,MEDINA,OH,44256,OH - Cleveland,1621,,23554.69509,7634.236563,41.1379442,-81.8379009
360141,NORTHSIDE MEDICAL CENTER,500 GYPSY LANE,YOUNGSTOWN,OH,44501,OH - Youngstown,1748,,39408.08192,9815.550555,41.133601,-80.6582191
360150,SUMMA WESTERN RESERVE HOSPITAL,1900 23RD STREET,CUYAHOGA FALLS,OH,44223,OH - Akron,725,,37602.76912,7682.210002,41.1329179,-81.5101128
360064,ST ELIZABETH HEALTH CENTER,1044 BELMONT AVENUE,YOUNGSTOWN,OH,44501,OH - Youngstown,4388,,29835.2304,8925.239572,41.115286,-80.656932
360089,MERCY TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,TIFFIN,OH,44883,OH - Toledo,531,,14932.66005,6393.557479,41.1051405,-83.2170144
360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,444 NORTH MAIN STREET,AKRON,OH,44310,OH - Akron,788,,17366.64519,11587.64297,41.096976,-81.513553
360020,SUMMA HEALTH SYSTEMS HOSPITALS,525 EAST MARKET STREET,AKRON,OH,44309,OH - Akron,6370,,45645.58129,10276.77497,41.081607,-81.500071
360027,AKRON GENERAL MEDICAL CENTER,400 WABASH AVENUE,AKRON,OH,44307,OH - Akron,5025,,33485.12457,9937.282134,41.077471,-81.530417
360195,SUMMA WADSWORTH-RITTMAN HOSPITAL,195 WADSWORTH ROAD,WADSWORTH,OH,44281,OH - Akron,578,,22185.65545,5292.200325,41.028187,-81.752964
360095,BLANCHARD VALLEY HOSPITAL,1900 SOUTH MAIN STREET,FINDLAY,OH,45840,OH - Toledo,1730,,19425.2666,7819.675473,41.01785,-83.651653
360352,SURGICAL HOSPITAL AT SOUTHWOODS,7630 SOUTHERN BLVD,YOUNGSTOWN,OH,44512,OH - Youngstown,97,,29856.15464,10416.57732,41.015333,-80.655502
360019,SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,155 5TH STREET N E,BARBERTON,OH,44203,OH - Akron,1850,,39586.83512,8319.90785,41.014765,-81.589133
360276,ST ELIZABETH BOARDMAN HEALTH CENTER,8401 MARKET STREET,BOARDMAN,OH,44512,OH - Youngstown,2713,,24360.42564,7005.501485,40.994981,-80.661916
360131,ALLIANCE COMMUNITY HOSPITAL,200 EAST STATE STREET,ALLIANCE,OH,44601,OH - Canton,898,,15348.84149,7700.59302,40.9022094,-81.1026943
360185,SALEM COMMUNITY HOSPITAL,1995 EAST STATE STREET,SALEM,OH,44460,OH - Youngstown,1120,,15672.94994,6895.543224,40.9009281,-80.8318124
360002,SAMARITAN HOSPITAL - PEOPLES HOSPITAL,1025 CENTER ST,ASHLAND,OH,44805,OH - Columbus,548,,10245.22415,6477.398904,40.8588041,-82.3103274
360071,VAN WERT COUNTY HOSPITAL,1250 S WASHINGTON STREET,VAN WERT,OH,45891,IN - Fort Wayne,262,,16283.17187,8974.239537,40.8504027,-84.5813426
360036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVENUE,WOOSTER,OH,44691,OH - Canton,1159,,7716.903933,5766.204006,40.8204048,-81.9342322
360070,MERCY MEDICAL CENTER,1320 MERCY DRIVE NW,CANTON,OH,44708,OH - Canton,3025,,15466.1217,8525.52012,40.8121852,-81.396246
360151,AFFINITY MEDICAL CENTER,875 EIGHTH STREET NE,MASSILLON,OH,44646,OH - Canton,868,,24433.18153,6460.680907,40.8066924,-81.5163144
360084,AULTMAN HOSPITAL,2600 SIXTH STREET SW,CANTON,OH,44710,OH - Canton,4364,,18161.64657,9171.644666,40.79609,-81.403597
360118,MEDCENTRAL HEALTH SYSTEM,335 GLESSNER AVENUE,MANSFIELD,OH,44903,OH - Columbus,4015,,21785.03506,7914.124883,40.752637,-82.528032
360263,INSTITUTE FOR ORTHOPEDIC SURGERY,"801 MEDICAL DRIVE, SUITE B",LIMA,OH,45804,OH - Dayton,232,,53170.125,12319.57328,40.742551,-84.1052256
360066,ST RITA'S MEDICAL CENTER,730 WEST MARKET STREET,LIMA,OH,45801,OH - Dayton,5010,,33536.44109,8557.585834,40.741375,-84.11966
360009,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,OH - Dayton,2021,,25760.36682,8053.810987,40.7348958,-84.0865324
360096,EAST LIVERPOOL CITY HOSPITAL,425 WEST 5TH STREET,EAST LIVERPOOL,OH,43920,PA - Pittsburgh,1394,,11142.77708,5768.107301,40.6214895,-80.5865109
360011,MARION GENERAL HOSPITAL,1000 MCKINLEY PARK DRIVE,MARION,OH,43302,OH - Columbus,2299,,18922.35402,7260.353403,40.571168,-83.1293309
360148,POMERENE HOSPITAL,981 WOOSTER ROAD,MILLERSBURG,OH,44654,OH - Canton,168,,13171.42151,7203.406852,40.565148,-81.920461
360032,GRAND LAKE HEALTH SYSTEM,200 SAINT CLAIR STREET,SAINT MARYS,OH,45885,OH - Dayton,491,,13184.53208,6503.707068,40.5451903,-84.3698487
360010,UNION HOSPITAL,659 BOULEVARD,DOVER,OH,44622,OH - Canton,1657,,9829.913091,6103.802259,40.514203,-81.456113
360058,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,800 WEST MAIN STREET,COLDWATER,OH,45828,OH - Dayton,288,,13120.04341,5710.057327,40.480736,-84.639426
360040,KNOX COMMUNITY HOSPITAL,1330 COSHOCTON ROAD,MOUNT VERNON,OH,43050,OH - Columbus,853,,18035.70752,7393.974356,40.3996679,-82.4482173
360197,MARY RUTAN HOSPITAL,205 PALMER AVENUE,BELLEFONTAINE,OH,43311,OH - Columbus,421,,13635.77902,8884.13562,40.3684136,-83.757063
360211,TRINITY MEDICAL CTR EAST&TRINITY MEDICAL CTR WEST,380 SUMMIT AVENUE,STEUBENVILLE,OH,43952,PA - Pittsburgh,2970,,16774.73334,7563.25059,40.3560133,-80.6250211
360210,GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,OH,43015,OH - Columbus,560,,19652.60198,7521.751542,40.305623,-83.089148
360013,WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,OH - Dayton,443,,13611.10099,5501.740794,40.287871,-84.1796787
360109,COSHOCTON COUNTY MEMORIAL HOSPITAL,1460 ORANGE STREET,COSHOCTON,OH,43812,OH - Columbus,575,,12282.19015,7106.825548,40.271019,-81.847994
360092,MEMORIAL HOSPITAL OF UNION COUNTY,500 LONDON AVENUE,MARYSVILLE,OH,43040,OH - Columbus,190,,16715.63548,7623.935475,40.229531,-83.36773
360012,MOUNT CARMEL ST ANN'S HOSPITAL,500 SOUTH CLEVELAND AVENUE,WESTERVILLE,OH,43081,OH - Columbus,2945,,20501.33162,8871.528632,40.1147943,-82.9467738
360348,DUBLIN METHODIST HOSPITAL,7500 HOSPITAL AVENUE,DUBLIN,OH,43016,OH - Columbus,499,,22991.28267,6803.232144,40.0996973,-83.1655101
360080,EAST OHIO REGIONAL HOSPITAL,90 NORTH FOURTH STREET,MARTINS FERRY,OH,43935,PA - Pittsburgh,675,,19600.58651,6351.585184,40.0987271,-80.7207236
360174,UPPER VALLEY MEDICAL CENTER,3130 NORTH COUNTY ROAD 25A,TROY,OH,45373,OH - Dayton,2132,,32594.46512,7587.482009,40.0891727,-84.2239916
360044,WAYNE HOSPITAL,835 SWEITZER STREET,GREENVILLE,OH,45331,OH - Dayton,715,,14524.14494,6592.380002,40.088679,-84.634575
360266,MOUNT CARMEL NEW ALBANY SURGICAL HOSPITAL,7333 SMITH'S MILL ROAD,NEW ALBANY,OH,43054,OH - Columbus,1000,,33315.32024,14010.04104,40.0871254,-82.7923593
360218,LICKING MEMORIAL HOSPITAL,1320 WEST MAIN STREET,NEWARK,OH,43055,OH - Columbus,1661,,15621.69626,8072.031294,40.048764,-82.450288
360347,MEDICAL CENTER OF NEWARK LLC,2000 TAMARACK ROAD,NEWARK,OH,43055,OH - Columbus,80,,28170.02244,11311.41919,40.042557,-82.464886
360203,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,OH,43725,OH - Columbus,1411,,13291.54851,7628.27331,40.041146,-81.577894
360006,RIVERSIDE METHODIST HOSPITAL,3535 OLENTANGY RIVER RD,COLUMBUS,OH,43214,OH - Columbus,9081,,35284.86234,9657.466292,40.0306438,-83.0344023
360153,BELMONT COMMUNITY HOSPITAL,4697 HARRISON STREET,BELLAIRE,OH,43906,PA - Pittsburgh,103,,10488.96793,4856.311429,40.029843,-80.743118
360247,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,OH - Columbus,431,,5384.686775,3913.141531,40.02711,-82.881818
360085,OHIO STATE UNIVERSITY HOSPITALS,410 WEST 10TH AVENUE,COLUMBUS,OH,43210,OH - Columbus,6665,,51124.14314,13565.5173,39.9944489,-83.0187249
360039,GENESIS HEALTHCARE SYSTEM,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,OH - Columbus,5489,,21499.37176,8932.173263,39.9751,-82.018118
360017,GRANT MEDICAL CENTER,111 SOUTH GRANT AVENUE,COLUMBUS,OH,43215,OH - Columbus,4203,,37708.33937,11984.56098,39.9612588,-82.9908029
360035,MOUNT CARMEL HEALTH,793 WEST STATE STREET,COLUMBUS,OH,43222,OH - Columbus,6950,,22772.62196,9576.868454,39.957371,-83.021364
360152,DOCTORS HOSPITAL,5100 WEST  BROAD STREET,COLUMBUS,OH,43228,OH - Columbus,1895,,32448.06161,10795.3715,39.953109,-83.13803
360086,SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,SPRINGFIELD,OH,45504,OH - Dayton,3306,,25936.29335,9268.949331,39.9283093,-83.8161529
360355,"OHIO VALLEY MEDICAL CENTER, LLC",100 WEST MAIN STREET,SPRINGFIELD,OH,45502,OH - Dayton,98,,33254.16327,10639.91837,39.925385,-83.812816
360189,MADISON COUNTY HOSPITAL INC,210 NORTH MAIN STREET,LONDON,OH,43140,OH - Columbus,116,,17226.57701,8150.194991,39.8925374,-83.454325
360052,GOOD SAMARITAN HOSPITAL,2222 PHILADELPHIA DRIVE,DAYTON,OH,45406,OH - Dayton,4912,,53846.74887,9837.108084,39.7877652,-84.2352554
360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,405 GRAND AVENUE,DAYTON,OH,45405,OH - Dayton,1972,,43688.13178,10794.67961,39.7694959,-84.202853
360274,MEDICAL CENTER AT ELIZABETH PLACE,ONE ELIZABETH PLACE,DAYTON,OH,45408,OH - Dayton,13,,39835.92308,10259.84615,39.746047,-84.1996581
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,OH - Dayton,5540,,49578.64187,10547.08999,39.745474,-84.185228
360072,FAIRFIELD MEDICAL CENTER,401 NORTH EWING STREET,LANCASTER,OH,43130,OH - Columbus,2994,,18955.17763,7788.845576,39.717496,-82.577721
360026,GREENE MEMORIAL HOSPITAL,1141 NORTH MONROE DRIVE,XENIA,OH,45385,OH - Kettering,789,,27155.15535,7221.5562,39.700218,-83.927822
360079,KETTERING MEDICAL CENTER,3535 SOUTHERN BOULEVARD,KETTERING,OH,45429,OH - Kettering,3928,,35631.31113,9235.94559,39.6954978,-84.1910187
360239,KETTERING MEDICAL CENTER - SYCAMORE,4000 MIAMISBURG-CENTERVILLE ROAD,MIAMISBURG,OH,45342,OH - Kettering,1401,,28125.02015,7017.355427,39.6377752,-84.248638
360170,BERGER HOSPITAL,600 NORTH PICKAWAY STREET,CIRCLEVILLE,OH,43113,OH - Columbus,594,,16163.91121,7348.975439,39.6090797,-82.9383078
360046,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,OH - Cincinnati,431,,14163.7162,6293.377404,39.5125559,-84.740345
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,45005,OH - Kettering,2577,,44235.69301,9173.633937,39.499387,-84.3147897
360175,CLINTON MEMORIAL HOSPITAL,610 WEST MAIN STREET,WILMINGTON,OH,45177,OH - Cincinnati,1058,,10104.79645,7704.713176,39.443587,-83.840008
360147,MARIETTA MEMORIAL HOSPITAL,401 MATTHEW STREET,MARIETTA,OH,45750,OH - Columbus,2704,,22219.28646,6988.735634,39.430606,-81.464544
360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,630 EATON AVENUE,HAMILTON,OH,45013,OH - Cincinnati,2015,,31039.81355,8151.49228,39.415506,-84.57263
360159,ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,45601,OH - Columbus,3767,,23879.54777,9388.567042,39.3945889,-82.9697915
360269,BUTLER COUNTY MEDICAL CENTER,3125 HAMILTON MASON ROAD,HAMILTON,OH,45011,OH - Cincinnati,33,,30845.42424,11724.63636,39.3782429,-84.5136934
360354,WEST CHESTER MEDICAL CENTER,7700 UNIVERSITY DRIVE,WEST CHESTER,OH,45069,OH - Cincinnati,1577,,28944.34787,7423.395438,39.358299,-84.367845
360014,O'BLENESS MEMORIAL HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,OH - Columbus,521,,16597.92103,10763.0274,39.3279604,-82.115643
360056,MERCY HOSPITAL FAIRFIELD,3000 MACK ROAD,FAIRFIELD,OH,45014,OH - Cincinnati,3424,,26552.01157,8609.99282,39.3125703,-84.5177374
360179,BETHESDA NORTH HOSPITAL,10500 MONTGOMERY ROAD,CINCINNATI,OH,45242,OH - Cincinnati,5470,,34040.84049,9093.053902,39.2528036,-84.3436854
360016,"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,OH - Cincinnati,3257,,27412.10057,9183.374279,39.2067189,-84.3803611
360234,MERCY FRANCISCAN HOSPITAL - MT AIRY,2446 KIPLING AVENUE,CINCINNATI,OH,45239,OH - Cincinnati,1603,,19603.51806,7294.823259,39.204626,-84.570925
360134,GOOD SAMARITAN HOSPITAL,375 DIXMYTH AVENUE,CINCINNATI,OH,45220,OH - Cincinnati,3534,,37873.39491,11199.50015,39.1400094,-84.5207292
360003,"UNIVERSITY HOSPITAL, INC",234 GOODMAN STREET,CINCINNATI,OH,45267,OH - Cincinnati,3858,,36697.13209,15480.63936,39.1370651,-84.5039241
360113,MERCY FRANCISCAN HOSPITAL WESTERN HILLS,3131 QUEEN CITY AVENUE,CINCINNATI,OH,45238,OH - Cincinnati,1853,,20373.64137,6777.631509,39.1362598,-84.6049092
360163,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,OH - Cincinnati,5381,,34175.28262,10463.81662,39.1212653,-84.5102765
360001,MERCY HOSPITAL ANDERSON,7500 STATE ROAD,CINCINNATI,OH,45255,OH - Cincinnati,2832,,22656.07016,8163.69192,39.0858227,-84.3488631
360236,MERCY HOSPITAL CLERMONT,3000 HOSPITAL DRIVE,BATAVIA,OH,45103,OH - Cincinnati,1675,,18250.76898,7522.541914,39.080232,-84.144589
360116,BROWN COUNTY GENERAL HOSPITAL,425 HOME STREET,GEORGETOWN,OH,45121,OH - Cincinnati,221,,14460.2618,7084.13298,38.8588211,-83.8979183
360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,GALLIPOLIS,OH,45631,OH - Columbus,2051,,18663.50846,7403.09903,38.844399,-82.237536
360008,SOUTHERN OHIO MEDICAL CENTER,1805 27TH STREET,PORTSMOUTH,OH,45662,OH - Columbus,3481,,28068.45556,9892.78582,38.7532,-82.978
