Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,12.4,"Boston, MA","Percentage of births under 2,500 grams.","Boston resident live births, MA Department of Public Health",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,8.9,"Boston, MA","Percentage of births under 2,500 grams.","Boston resident live births, MA Department of Public Health",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,8.0,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,American Indian/Alaska Native,7.1,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,American Indian alone,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,7.3,"Los Angeles, CA","Percentage of births under 2,500 grams.","California Department of Public Health, Center for Health Statistics, OHIR Vital Statistics Section, 2010-13",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.4,"Long Beach, CA","Percentage of births under 2,500 grams.","Source: California Department of Public Health Master Statistical File.  Includes data for 2010, 2011, 2012.",,"Originating dataset does not include data for zip codes 90840, 90822.  Does not include data on infant gender.  Does not include race/ethnicity data.",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,9.4,"San Antonio, TX","Percentage of births under 2,500 grams.","CDC, National Center for Health Statistics. Underlying Cause of Death 1999-2016 on CDC Wonder Online Database, released Dec 2017",,Bexar County level data,,,9.0,9.7
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,11.7,"San Antonio, TX","Percentage of births under 2,500 grams.","CDC, National Center for Health Statistics. Underlying Cause of Death 1999-2016 on CDC Wonder Online Database, released Dec 2017",,Bexar County level data,,,9.6,14.3
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,9.4,"San Antonio, TX","Percentage of births under 2,500 grams.","CDC, National Center for Health Statistics. Underlying Cause of Death 1999-2016 on CDC Wonder Online Database, released Dec 2017",,Bexar County level data,,,8.9,9.8
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,,"San Antonio, TX","Percentage of births under 2,500 grams.","CDC, National Center for Health Statistics. Underlying Cause of Death 1999-2016 on CDC Wonder Online Database, released Dec 2017",,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.; Bexar County level data",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.8,"San Antonio, TX","Percentage of births under 2,500 grams.","CDC, National Center for Health Statistics. Underlying Cause of Death 1999-2016 on CDC Wonder Online Database, released Dec 2017",,Bexar County level data,,,7.2,8.5
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.7,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.3,"Washington, DC","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.8,"Las Vegas (Clark County), NV","Percentage of births under 2,500 grams.",CDC WONDER,,,,,7.7,8.0
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.3,"Las Vegas (Clark County), NV","Percentage of births under 2,500 grams.",CDC WONDER,,,,,13.8,14.8
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,9.5,"Las Vegas (Clark County), NV","Percentage of births under 2,500 grams.",CDC WONDER,,,,,9.1,9.9
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.3,"Las Vegas (Clark County), NV","Percentage of births under 2,500 grams.",CDC WONDER,,,,,8.2,8.4
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to <20 events.",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.4,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,8.6,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.9,"Philadelphia, PA","Percentage of births under 2,500 grams.",Vital Statistics,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,8.8,"Philadelphia, PA","Percentage of births under 2,500 grams.",Vital Statistics,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.8,"Philadelphia, PA","Percentage of births under 2,500 grams.",Vital Statistics,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,9.6,"Philadelphia, PA","Percentage of births under 2,500 grams.",Vital Statistics,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,10.9,"Philadelphia, PA","Percentage of births under 2,500 grams.",Vital Statistics,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.2,"Phoenix, AZ","Percentage of births under 2,500 grams.",National Vital Statistical Reports Birth: Prelim Data,,Mothers race and residential zip code were used to stratify data,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,9.9,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.5,"Miami (Miami-Dade County), FL","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed due to <20 events.",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.6,"Charlotte, NC","Percentage of births under 2,500 grams.",NC DHHS/SCHS/MCPH Epidemiology,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,7.1,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.1,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.0,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,13.5,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,8.5,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,American Indian/Alaska Native,7.6,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,American Indian alone,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.1,"U.S. Total, U.S. Total","Percentage of births under 2,500 grams.","Low birth weight infants (percent, <2,500 grams), National Vital Statistics System-Natality (NVSS-N), CDC/NCHS",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,6.1,"Kansas City, MO","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,5.4,"Kansas City, MO","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,9.6,"Chicago, Il","Percentage of births under 2,500 grams.",IDPH Vital Statistics,"Percent of births that are low birthweight (< 2500 grams or 5 lbs, 8 oz)",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Asian/PI,9.2,"Chicago, Il","Percentage of births under 2,500 grams.",IDPH Vital Statistics,"Percent of births that are low birthweight (< 2500 grams or 5 lbs, 8 oz)",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.2,"Chicago, Il","Percentage of births under 2,500 grams.",IDPH Vital Statistics,"Percent of births that are low birthweight (< 2500 grams or 5 lbs, 8 oz)",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.1,"Chicago, Il","Percentage of births under 2,500 grams.",IDPH Vital Statistics,"Percent of births that are low birthweight (< 2500 grams or 5 lbs, 8 oz)",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,7.3,"Chicago, Il","Percentage of births under 2,500 grams.",IDPH Vital Statistics,"Percent of births that are low birthweight (< 2500 grams or 5 lbs, 8 oz)",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,8.0,"Miami (Miami-Dade County), FL","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Hispanic,7.4,"Miami (Miami-Dade County), FL","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,14.4,"Miami (Miami-Dade County), FL","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,9.1,"Miami (Miami-Dade County), FL","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Black,12.2,"Kansas City, MO","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,All,8.0,"Kansas City, MO","Percentage of births under 2,500 grams.",,,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,White,1.2,"Houston, TX","Percentage of births under 2,500 grams.","Percent in Harris County. Source: Texas Birth Statistics for Harris. Available at http://soupfin.tdh.state.tx.us/birth05.htm.Accessed on May 20, 2015online.",,"Harris County data, not just Houston",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2010,Both,Other,1.8,"Houston, TX","Percentage of births under 2,500 grams.","Percent in Harris County. Source: Texas Birth Statistics for Harris. Available at http://soupfin.tdh.state.tx.us/birth05.htm.Accessed on May 20, 2015online.",,"Harris County data, not just Houston",,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,Multiracial,7.2,"Seattle, WA","Percentage of births under 2,500 grams.","Washington State Department of Health, Center for Health Statistics, Birth Certificate Data, 1990-2013, August 2014.",,,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,All,7.2,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",,,,,
Maternal and Child Health,Percent of Low Birth Weight Babies Born,2011,Both,American Indian/Alaska Native,8.5,"Minneapolis, MN","Percentage of births under 2,500 grams.","Minnesota Department of Health, Vital Records","Multiple births were included in these analyses, consistent with Big Cities methodology. The City of Minneapolis (and Hennepin County) also produce analyses of low birth weight for singleton births only.",American Indian alone,,,,
