Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Asian/PI,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","CHIS Statistically unstable.YRBSS was not used since it is only representative of San Diego City (not San Diego County); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,51.1,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,40.3,61.9
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,48.1,"Long Beach, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Source: 2011 Los Angeles County Health Survey.  Note: Estimates are based on self-reported data by a random sample of 8,036 Los Angeles County adults, representative of the adult population in Los Angeles County. The 95% confidence intervals (CI) represent the variability in the estimate due to sampling; the actual prevalence in the population, 95 out of 100 times sampled, would fall within the range provided.",,Originating dataset did not include gender and race estimates.,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,49.7,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Asian/PI,70.6,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,48.4,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,41.4,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,25.8,57.1
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Asian/PI,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Black,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Hispanic,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Other,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,White,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Female,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Male,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2011,Both,Multiracial,57.9,"Los Angeles, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"California Health Interview Survey, 2011-12",Countywide data only.  The flu question was asked only of parents of children age 6 months through 11 years of age in 2011-2012.,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Other,,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""","YRBSS was not used since it is only representative of San Diego City (not San Diego County); Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,17.3,"Seattle, WA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,,"2011, 2012, 2013; percent of population under age 18, vaccinated for flu. This is the proportion of active patients registered in the WA State Immunization Information System registry (i.e Child Profile) that have received one valid flu dose at any time (used midpoint of year - june 30th)",,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Hispanic,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Asian/PI,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Black,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Other,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,White,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,,"San Francisco, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,CHIS,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,35.1,"New York City, NY",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"New York Citywide Immunization Registry (CIR), a confidential, population-based, computerized information system that collects and consolidates immunization records of people vaccinated at healthcare facilities within New York City. Fo rmore information, visit nyc.gov/health/cir.","Denominator is NYC DOHMH 2012 population estimates, updated 2014; the percent vaccinated for flu is calculated from the count of children less than 18 years old who received at least one dose of flu vaccine in New York City as of December 31st, 2012 (numerator), among all NYC resident children less than 18 years old (denominator)",,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,41.9,"Denver, CO",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"CIIS (Colorado Immunization Information System),  Population estimates (denominator) from DOLA (Denver Office of Local Affairs)","For inclusion in the numerator, the age (0-17) was calculated for each respective year and each individual who was 0-17 years of age and had at least 1 influenza vaccine in that year was counted. Patients with  contraindications for influenza vaccine were excluded. Population estimates calculated by the Denver Office of Local Affairs were used for the denominators.",Limitations: DOLA population estimates (based on US 2010 Census data) and CIIS do not have the same race categories; high percent of missing and unknown race & gender data in CIIS,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,35.3,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,American Indian/Alaska Native,34.4,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health","Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",American Indian alone,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Asian/PI,32.9,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Black,31.9,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Hispanic,28.1,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,Other,48.5,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,White,33.0,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health","Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,35.1,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,35.1,"Philadelphia, PA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"Division of Disease Control, Philadelphia Dept of Public Health",,"Numerator data obtained from KIDS Plus IIS, denominator data from 2010 census.",,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,56.4,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,http://www.cdc.gov/flu/fluvaxview/coverage-1213estimates.htm#data,,Value reported is for the 2012-2013 flu season,,,55.2,57.6
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,56.7,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,http://www.cdc.gov/flu/fluvaxview/coverage-1213estimates.htm#data,,Value reported is for the 2012-2013 flu season,,,55.5,56.9
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,56.6,"U.S. Total, U.S. Total",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,http://www.cdc.gov/flu/fluvaxview/coverage-1213estimates.htm#data,,Value reported is for the 2012-2013 flu season,,,55.7,57.5
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,6.5,"Phoenix, AZ",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,,,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Female,All,3.2,"Phoenix, AZ",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,,,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Male,All,3.3,"Phoenix, AZ",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,,,,,,,
Infectious Disease,Percent of Children Who Received Seasonal Flu Shot,2012,Both,All,54.8,"San Diego County, CA",YRBS/YRBSS (or similar survey). Percent of population under age 18 vaccinated for seasonal flu.,"UCLA Center for Health Policy Research, California Health Interview Survey, http://www.chis.ucla.edu/ (accessed 3/2017)","< 17 years of age ""Vaccinated for flu in the past 12 months""",YRBSS was not used since it is only representative of San Diego City (not San Diego County),,,47.6,62.0
